profile,param_id,beta,gamma,strategy,budget_k_pct,budget_k_nodes,mean_infected_per_hh,std_infected_per_hh,p2_5_infected_per_hh,p97_5_infected_per_hh,mean_reduction_vs_baseline_pct,std_reduction_vs_baseline_pct,p2_5_reduction_vs_baseline_pct,p97_5_reduction_vs_baseline_pct,n_runs
smoke,beta0.20_gamma0.10,0.2,0.1,betweenness,1,3,3.1667,0.148,2.9784,3.3131,-1.2052,7.3862,-7.8475,8.3733,3
smoke,beta0.20_gamma0.10,0.2,0.1,betweenness,2,6,3.0947,0.0983,2.9733,3.2,1.3053,0.6534,0.4497,1.7896,3
smoke,beta0.20_gamma0.10,0.2,0.1,betweenness,3,10,2.9546,0.0608,2.8892,3.0296,5.7302,1.8945,3.2492,7.1585,3
smoke,beta0.20_gamma0.10,0.2,0.1,betweenness,4,13,2.9318,0.0809,2.8647,3.0375,6.4503,2.7069,3.2317,9.5245,3
smoke,beta0.20_gamma0.10,0.2,0.1,betweenness,5,17,2.8712,0.0375,2.8312,2.9177,8.2754,4.7313,2.2969,13.0622,3
smoke,beta0.20_gamma0.10,0.2,0.1,betweenness,6,20,2.8864,0.0835,2.7892,2.9835,7.7377,6.1909,0.0854,14.3504,3
smoke,beta0.20_gamma0.10,0.2,0.1,betweenness,7,23,2.7803,0.0467,2.7296,2.8375,11.2469,3.1264,7.1713,13.9242,3
smoke,beta0.20_gamma0.10,0.2,0.1,betweenness,8,27,2.6174,0.0387,2.5806,2.6671,16.3774,4.4632,10.6861,20.7567,3
smoke,beta0.20_gamma0.10,0.2,0.1,betweenness,9,30,2.553,0.0684,2.4903,2.6414,18.5525,1.6508,16.5324,20.3494,3
smoke,beta0.20_gamma0.10,0.2,0.1,betweenness,10,34,2.5644,0.08,2.4807,2.6643,18.1719,2.7048,15.8218,21.6933,3
smoke,beta0.20_gamma0.10,0.2,0.1,betweenness,11,37,2.5038,0.0671,2.4159,2.5562,20.1334,1.0703,19.1155,21.5083,3
