profile,param_id,beta,gamma,run_id,seed,budget_k_pct,budget_k_nodes,strategy,selected_node_ids,final_mean_infected_per_hh,baseline_mean_infected_per_hh,reduction_vs_baseline_pct,transmissions_blocked,transmission_block_rate_pct,infections_prevented,prevention_rate_pct,precision_k_pct,transmission_coverage,selected_index_cases,selected_contacts,sars_pos_contacts_in_selected,recall_k_pct,dynamic_duration_coverage_pct,dynamic_contact_event_coverage_pct,lcc_reduction_pct
smoke,beta0.20_gamma0.10,0.2,0.1,0,42,0,0,baseline,,2.9773,2.9773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
smoke,beta0.20_gamma0.10,0.2,0.1,1,10042,0,0,baseline,,3.2614,3.2614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
smoke,beta0.20_gamma0.10,0.2,0.1,2,20042,0,0,baseline,,3.1705,3.1705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
smoke,beta0.20_gamma0.10,0.2,0.1,0,143,1,3,random,J077-002|S072-006|S039-004,3.1705,2.9773,-6.4885,7.0,2.4476,7.0,4.5752,66.6667,2.4476,0.0,3.0,2.0,0.8299,2.5126,2.5231,0.0
smoke,beta0.20_gamma0.10,0.2,0.1,1,10143,1,3,random,J048-002|J033-008|J039-006,3.0341,3.2614,6.9686,4.0,1.3986,4.0,2.6144,33.3333,1.3986,0.0,3.0,1.0,0.4149,3.6512,3.5875,0.0
smoke,beta0.20_gamma0.10,0.2,0.1,2,20143,1,3,random,S015-002|S007-006|S015-001,3.1364,3.1705,1.0753,5.0,1.7483,3.0,1.9608,66.6667,1.7483,1.0,2.0,1.0,0.8299,1.5138,1.6579,12.5
smoke,beta0.20_gamma0.10,0.2,0.1,0,144,1,3,degree,J043-005|S005-001|J063-001,3.1818,2.9773,-6.8702,7.0,2.4476,7.0,4.5752,100.0,2.4476,2.0,1.0,1.0,1.2448,11.4589,7.9208,0.0
smoke,beta0.20_gamma0.10,0.2,0.1,1,10144,1,3,degree,J043-005|S005-001|J063-001,3.2614,3.2614,0.0,7.0,2.4476,7.0,4.5752,100.0,2.4476,2.0,1.0,1.0,1.2448,11.4589,7.9208,0.0
smoke,beta0.20_gamma0.10,0.2,0.1,2,20144,1,3,degree,J043-005|S005-001|J063-001,3.2955,3.1705,-3.9427,7.0,2.4476,7.0,4.5752,100.0,2.4476,2.0,1.0,1.0,1.2448,11.4589,7.9208,0.0
smoke,beta0.20_gamma0.10,0.2,0.1,0,145,1,3,betweenness,S005-003|S080-001|J075-001,3.2159,2.9773,-8.0153,1.0,0.3497,1.0,0.6536,66.6667,0.3497,2.0,1.0,0.0,0.8299,4.0363,3.4993,0.0
smoke,beta0.20_gamma0.10,0.2,0.1,1,10145,1,3,betweenness,S005-003|S080-001|J075-001,2.9659,3.2614,9.0592,1.0,0.3497,1.0,0.6536,66.6667,0.3497,2.0,1.0,0.0,0.8299,4.0363,3.4993,0.0
smoke,beta0.20_gamma0.10,0.2,0.1,2,20145,1,3,betweenness,S005-003|S080-001|J075-001,3.3182,3.1705,-4.6595,1.0,0.3497,1.0,0.6536,66.6667,0.3497,2.0,1.0,0.0,0.8299,4.0363,3.4993,0.0
smoke,beta0.20_gamma0.10,0.2,0.1,0,146,1,3,gnn,S081-001|J075-001|J055-001,3.3409,2.9773,-12.2137,2.0,0.6993,2.0,1.3072,100.0,0.6993,3.0,0.0,0.0,1.2448,1.0907,1.0189,0.0
smoke,beta0.20_gamma0.10,0.2,0.1,1,10146,1,3,gnn,S081-001|J075-001|J055-001,2.8636,3.2614,12.1951,2.0,0.6993,2.0,1.3072,100.0,0.6993,3.0,0.0,0.0,1.2448,1.0907,1.0189,0.0
smoke,beta0.20_gamma0.10,0.2,0.1,2,20146,1,3,gnn,S081-001|J075-001|J055-001,3.3295,3.1705,-5.0179,2.0,0.6993,2.0,1.3072,100.0,0.6993,3.0,0.0,0.0,1.2448,1.0907,1.0189,0.0
smoke,beta0.20_gamma0.10,0.2,0.1,0,243,2,6,random,S033-002|S007-004|S070-002|S061-002|S075-004|S067-001,2.9773,2.9773,0.0,15.0,5.2448,15.0,9.8039,83.3333,5.2448,1.0,5.0,4.0,2.0747,1.2059,1.5156,12.5
smoke,beta0.20_gamma0.10,0.2,0.1,1,10243,2,6,random,J033-008|S009-001|J044-003|J047-001|S007-003|S056-003,3.0455,3.2614,6.6202,11.0,3.8462,11.0,7.1895,66.6667,3.8462,2.0,4.0,2.0,1.6598,3.0445,3.3741,12.5
smoke,beta0.20_gamma0.10,0.2,0.1,2,20243,2,6,random,S040-004|J047-001|J050-003|S067-004|J044-005|S011-001,3.1136,3.1705,1.7921,15.0,5.2448,15.0,9.8039,83.3333,5.2448,2.0,4.0,3.0,2.0747,1.7453,2.3424,0.0
smoke,beta0.20_gamma0.10,0.2,0.1,0,244,2,6,degree,J043-005|S005-001|J063-001|J043-006|S028-004|J008-004,3.0909,2.9773,-3.8168,15.0,5.2448,12.0,7.8431,100.0,5.2448,2.0,4.0,4.0,2.4896,19.1454,14.9052,0.0
smoke,beta0.20_gamma0.10,0.2,0.1,1,10244,2,6,degree,J043-005|S005-001|J063-001|J043-006|S028-004|J008-004,3.0909,3.2614,5.2265,15.0,5.2448,12.0,7.8431,100.0,5.2448,2.0,4.0,4.0,2.4896,19.1454,14.9052,0.0
smoke,beta0.20_gamma0.10,0.2,0.1,2,20244,2,6,degree,J043-005|S005-001|J063-001|J043-006|S028-004|J008-004,3.2841,3.1705,-3.5842,15.0,5.2448,12.0,7.8431,100.0,5.2448,2.0,4.0,4.0,2.4896,19.1454,14.9052,0.0
smoke,beta0.20_gamma0.10,0.2,0.1,0,245,2,6,betweenness,S005-003|S080-001|J075-001|J063-004|S008-002|J030-004,2.9659,2.9773,0.3817,4.0,1.3986,4.0,2.6144,50.0,1.3986,2.0,4.0,1.0,1.2448,5.3181,4.6178,0.0
smoke,beta0.20_gamma0.10,0.2,0.1,1,10245,2,6,betweenness,S005-003|S080-001|J075-001|J063-004|S008-002|J030-004,3.2045,3.2614,1.7422,4.0,1.3986,4.0,2.6144,50.0,1.3986,2.0,4.0,1.0,1.2448,5.3181,4.6178,0.0
smoke,beta0.20_gamma0.10,0.2,0.1,2,20245,2,6,betweenness,S005-003|S080-001|J075-001|J063-004|S008-002|J030-004,3.1136,3.1705,1.7921,4.0,1.3986,4.0,2.6144,50.0,1.3986,2.0,4.0,1.0,1.2448,5.3181,4.6178,0.0
smoke,beta0.20_gamma0.10,0.2,0.1,0,246,2,6,gnn,S081-001|J075-001|J055-001|S008-001|S047-001|J053-001,3.0114,2.9773,-1.145,3.0,1.049,3.0,1.9608,100.0,1.049,6.0,0.0,0.0,2.4896,3.1707,3.2545,0.0
smoke,beta0.20_gamma0.10,0.2,0.1,1,10246,2,6,gnn,S081-001|J075-001|J055-001|S008-001|S047-001|J053-001,3.0341,3.2614,6.9686,3.0,1.049,3.0,1.9608,100.0,1.049,6.0,0.0,0.0,2.4896,3.1707,3.2545,0.0
smoke,beta0.20_gamma0.10,0.2,0.1,2,20246,2,6,gnn,S081-001|J075-001|J055-001|S008-001|S047-001|J053-001,3.2159,3.1705,-1.4337,3.0,1.049,3.0,1.9608,100.0,1.049,6.0,0.0,0.0,2.4896,3.1707,3.2545,0.0
smoke,beta0.20_gamma0.10,0.2,0.1,0,343,3,10,random,J057-004|J059-003|J050-001|S051-001|J009-001|J023-006|S051-004|J044-004|S021-002|J027-002,3.0455,2.9773,-2.2901,17.0,5.9441,17.0,11.1111,80.0,5.9441,3.0,7.0,5.0,3.3195,4.656,5.836,0.0
smoke,beta0.20_gamma0.10,0.2,0.1,1,10343,3,10,random,J031-002|S021-005|S016-003|S008-003|S045-003|S011-003|J047-002|S032-005|J027-005|S033-001,2.8523,3.2614,12.5436,11.0,3.8462,11.0,7.1895,50.0,3.8462,1.0,9.0,4.0,2.0747,2.5296,2.9087,0.0
smoke,beta0.20_gamma0.10,0.2,0.1,2,20343,3,10,random,S062-007|J041-005|S030-002|S026-001|S061-004|S079-005|S020-002|J053-002|J043-001|S051-001,3.0682,3.1705,3.2258,18.0,6.2937,18.0,11.7647,70.0,6.2937,3.0,7.0,4.0,2.9046,6.5055,7.3871,0.0
smoke,beta0.20_gamma0.10,0.2,0.1,0,344,3,10,degree,J043-005|S005-001|J063-001|J043-006|S028-004|J008-004|S005-002|S080-002|J063-005|J008-001,3.0114,2.9773,-1.145,17.0,5.9441,12.0,7.8431,70.0,5.9441,3.0,7.0,4.0,2.9046,25.6585,20.0666,0.0
smoke,beta0.20_gamma0.10,0.2,0.1,1,10344,3,10,degree,J043-005|S005-001|J063-001|J043-006|S028-004|J008-004|S005-002|S080-002|J063-005|J008-001,2.9091,3.2614,10.8014,17.0,5.9441,12.0,7.8431,70.0,5.9441,3.0,7.0,4.0,2.9046,25.6585,20.0666,0.0
