profile,param_id,beta,gamma,run_id,seed,budget_k_pct,budget_k_nodes,strategy,time_step,mean_susceptible,mean_infected_active,mean_recovered,mean_ever_infected,n_households
smoke,beta0.20_gamma0.10,0.2,0.1,0,42,0,0,baseline,0,2.8636,1.0,0.0,1.0,88
smoke,beta0.20_gamma0.10,0.2,0.1,0,42,0,0,baseline,1,2.5682,1.1591,0.1364,1.2955,88
smoke,beta0.20_gamma0.10,0.2,0.1,0,42,0,0,baseline,2,2.1364,1.4205,0.3068,1.7273,88
smoke,beta0.20_gamma0.10,0.2,0.1,0,42,0,0,baseline,3,1.7955,1.6023,0.4659,2.0682,88
smoke,beta0.20_gamma0.10,0.2,0.1,0,42,0,0,baseline,4,1.5795,1.6136,0.6705,2.2841,88
smoke,beta0.20_gamma0.10,0.2,0.1,0,42,0,0,baseline,5,1.3182,1.7273,0.8182,2.5455,88
smoke,beta0.20_gamma0.10,0.2,0.1,0,42,0,0,baseline,6,1.2045,1.7045,0.9545,2.6591,88
smoke,beta0.20_gamma0.10,0.2,0.1,0,42,0,0,baseline,7,1.0227,1.7273,1.1136,2.8409,88
smoke,beta0.20_gamma0.10,0.2,0.1,0,42,0,0,baseline,8,0.9659,1.5568,1.3409,2.8977,88
smoke,beta0.20_gamma0.10,0.2,0.1,0,42,0,0,baseline,9,0.9091,1.5,1.4545,2.9545,88
smoke,beta0.20_gamma0.10,0.2,0.1,0,42,0,0,baseline,10,0.8864,1.375,1.6023,2.9773,88
smoke,beta0.20_gamma0.10,0.2,0.1,1,10042,0,0,baseline,0,2.8636,1.0,0.0,1.0,88
smoke,beta0.20_gamma0.10,0.2,0.1,1,10042,0,0,baseline,1,2.5227,1.2386,0.1023,1.3409,88
smoke,beta0.20_gamma0.10,0.2,0.1,1,10042,0,0,baseline,2,2.1818,1.4659,0.2159,1.6818,88
smoke,beta0.20_gamma0.10,0.2,0.1,1,10042,0,0,baseline,3,1.75,1.8068,0.3068,2.1136,88
smoke,beta0.20_gamma0.10,0.2,0.1,1,10042,0,0,baseline,4,1.3409,2.0455,0.4773,2.5227,88
smoke,beta0.20_gamma0.10,0.2,0.1,1,10042,0,0,baseline,5,1.1023,2.1023,0.6591,2.7614,88
smoke,beta0.20_gamma0.10,0.2,0.1,1,10042,0,0,baseline,6,0.9091,2.0909,0.8636,2.9545,88
smoke,beta0.20_gamma0.10,0.2,0.1,1,10042,0,0,baseline,7,0.8295,1.9432,1.0909,3.0341,88
smoke,beta0.20_gamma0.10,0.2,0.1,1,10042,0,0,baseline,8,0.7273,1.8636,1.2727,3.1364,88
smoke,beta0.20_gamma0.10,0.2,0.1,1,10042,0,0,baseline,9,0.6364,1.8068,1.4205,3.2273,88
smoke,beta0.20_gamma0.10,0.2,0.1,1,10042,0,0,baseline,10,0.6023,1.7273,1.5341,3.2614,88
smoke,beta0.20_gamma0.10,0.2,0.1,2,20042,0,0,baseline,0,2.8636,1.0,0.0,1.0,88
smoke,beta0.20_gamma0.10,0.2,0.1,2,20042,0,0,baseline,1,2.4318,1.3295,0.1023,1.4318,88
smoke,beta0.20_gamma0.10,0.2,0.1,2,20042,0,0,baseline,2,2.0,1.5909,0.2727,1.8636,88
smoke,beta0.20_gamma0.10,0.2,0.1,2,20042,0,0,baseline,3,1.6136,1.7841,0.4659,2.25,88
smoke,beta0.20_gamma0.10,0.2,0.1,2,20042,0,0,baseline,4,1.3977,1.7955,0.6705,2.4659,88
smoke,beta0.20_gamma0.10,0.2,0.1,2,20042,0,0,baseline,5,1.1705,1.8523,0.8409,2.6932,88
smoke,beta0.20_gamma0.10,0.2,0.1,2,20042,0,0,baseline,6,1.0227,1.7614,1.0795,2.8409,88
smoke,beta0.20_gamma0.10,0.2,0.1,2,20042,0,0,baseline,7,0.8977,1.7386,1.2273,2.9659,88
smoke,beta0.20_gamma0.10,0.2,0.1,2,20042,0,0,baseline,8,0.7955,1.6932,1.375,3.0682,88
smoke,beta0.20_gamma0.10,0.2,0.1,2,20042,0,0,baseline,9,0.75,1.4432,1.6705,3.1136,88
smoke,beta0.20_gamma0.10,0.2,0.1,2,20042,0,0,baseline,10,0.6932,1.3977,1.7727,3.1705,88
smoke,beta0.20_gamma0.10,0.2,0.1,0,143,1,3,random,0,2.8295,1.0,0.0,1.0,88
smoke,beta0.20_gamma0.10,0.2,0.1,0,143,1,3,random,1,2.5227,1.2159,0.0909,1.3068,88
smoke,beta0.20_gamma0.10,0.2,0.1,0,143,1,3,random,2,2.0795,1.5227,0.2273,1.75,88
smoke,beta0.20_gamma0.10,0.2,0.1,0,143,1,3,random,3,1.7386,1.7045,0.3864,2.0909,88
smoke,beta0.20_gamma0.10,0.2,0.1,0,143,1,3,random,4,1.375,1.8977,0.5568,2.4545,88
smoke,beta0.20_gamma0.10,0.2,0.1,0,143,1,3,random,5,1.2386,1.8523,0.7386,2.5909,88
smoke,beta0.20_gamma0.10,0.2,0.1,0,143,1,3,random,6,1.0682,1.7841,0.9773,2.7614,88
smoke,beta0.20_gamma0.10,0.2,0.1,0,143,1,3,random,7,0.9318,1.7386,1.1591,2.8977,88
smoke,beta0.20_gamma0.10,0.2,0.1,0,143,1,3,random,8,0.7386,1.7727,1.3182,3.0909,88
smoke,beta0.20_gamma0.10,0.2,0.1,0,143,1,3,random,9,0.6818,1.5795,1.5682,3.1477,88
smoke,beta0.20_gamma0.10,0.2,0.1,0,143,1,3,random,10,0.6591,1.4432,1.7273,3.1705,88
smoke,beta0.20_gamma0.10,0.2,0.1,1,10143,1,3,random,0,2.8295,1.0,0.0,1.0,88
smoke,beta0.20_gamma0.10,0.2,0.1,1,10143,1,3,random,1,2.4886,1.25,0.0909,1.3409,88
smoke,beta0.20_gamma0.10,0.2,0.1,1,10143,1,3,random,2,2.1364,1.5,0.1932,1.6932,88
smoke,beta0.20_gamma0.10,0.2,0.1,1,10143,1,3,random,3,1.7273,1.7841,0.3182,2.1023,88
smoke,beta0.20_gamma0.10,0.2,0.1,1,10143,1,3,random,4,1.4545,1.9091,0.4659,2.375,88
smoke,beta0.20_gamma0.10,0.2,0.1,1,10143,1,3,random,5,1.2841,1.8636,0.6818,2.5455,88
smoke,beta0.20_gamma0.10,0.2,0.1,1,10143,1,3,random,6,1.1023,1.7614,0.9659,2.7273,88
smoke,beta0.20_gamma0.10,0.2,0.1,1,10143,1,3,random,7,0.9773,1.75,1.1023,2.8523,88
smoke,beta0.20_gamma0.10,0.2,0.1,1,10143,1,3,random,8,0.8864,1.6705,1.2727,2.9432,88
smoke,beta0.20_gamma0.10,0.2,0.1,1,10143,1,3,random,9,0.8409,1.5455,1.4432,2.9886,88
smoke,beta0.20_gamma0.10,0.2,0.1,1,10143,1,3,random,10,0.7955,1.4773,1.5568,3.0341,88
smoke,beta0.20_gamma0.10,0.2,0.1,2,20143,1,3,random,0,2.8409,0.9886,0.0,0.9886,88
smoke,beta0.20_gamma0.10,0.2,0.1,2,20143,1,3,random,1,2.4205,1.3182,0.0909,1.4091,88
smoke,beta0.20_gamma0.10,0.2,0.1,2,20143,1,3,random,2,2.0568,1.5341,0.2386,1.7727,88
smoke,beta0.20_gamma0.10,0.2,0.1,2,20143,1,3,random,3,1.75,1.6932,0.3864,2.0795,88
smoke,beta0.20_gamma0.10,0.2,0.1,2,20143,1,3,random,4,1.3864,1.8409,0.6023,2.4432,88
smoke,beta0.20_gamma0.10,0.2,0.1,2,20143,1,3,random,5,1.1477,1.9205,0.7614,2.6818,88
smoke,beta0.20_gamma0.10,0.2,0.1,2,20143,1,3,random,6,1.0,1.8409,0.9886,2.8295,88
smoke,beta0.20_gamma0.10,0.2,0.1,2,20143,1,3,random,7,0.8523,1.8523,1.125,2.9773,88
smoke,beta0.20_gamma0.10,0.2,0.1,2,20143,1,3,random,8,0.7727,1.7273,1.3295,3.0568,88
smoke,beta0.20_gamma0.10,0.2,0.1,2,20143,1,3,random,9,0.7159,1.5909,1.5227,3.1136,88
smoke,beta0.20_gamma0.10,0.2,0.1,2,20143,1,3,random,10,0.6932,1.4886,1.6477,3.1364,88
